id,title,author,subject,year_of_publication,edition,ISBN,publisher,seller,price_foreign_currency,price_indian_currency,link,medium
,DATA MINING AND KNOWLEDGE DISCOVERY HANDBOOK,Lior Rokach Oded Maimon,CSE,2020,2ND,9781071604496,SPRINGER,1,,Rs. 5995,https://www.springer.com/in/book/9780387098227,
,"Data Mining: Theories, Algorithms, And Examples",Ye Nong,CSE,2020,,9780367364861,Crc Press,1,,Rs. 3995,https://www.routledge.com/Data-Mining-Theories-Algorithms-and-Examples/Ye/p/book/9781138073661,
,DATA PROTECTION: ENSURING DATA AVAILABILITY,GUISE PRESTON DE,CSE,2019,,9780367240400,TAYLOR & FRANCIS,1,,Rs. 2495,https://www.routledge.com/Data-Protection-Ensuring-Data-Availability/Guise/p/book/9780367256777,
,DATA SCIENCE AND ANALYTICS WITH PYTHON,JESUS ROGEL-SALAZAR,CSE,2019,,9780367240417,CRC PRESS,1,,Rs. 2995,https://www.routledge.com/Data-Science-and-Analytics-with-Python/Rogel-Salazar/p/book/9781498742092,
,DATA SCIENCE AND MACHINE LEARNING : MATHEMATICAL AND STATISTICAL METHODS,"Dirk P. Kroese, Zdravko Botev, Thomas Taimre, Radislav Vaisman",CSE,2020,1ST,9781138492530,T&F/CRC PRESS,1,BP 79.99,,https://www.routledge.com/Data-Science-and-Machine-Learning-Mathematical-and-Statistical-Methods/Kroese-Botev-Taimre-Vaisman/p/book/9781138492530,
,"DATABASE PROCESSING: FUNDAMENTALS, DESIGN, AND IMPLEMENTATION",David M. Kroenke / David J. Auer / Robert C. Yoder / Scott L. Vandenberg,CSE,2018,15th,9780134802749,PEARSON,1,US$ 289,,https://www.pearson.com/store/p/database-processing-fundamentals-design-and-implementation/P100000878468/9780134802749,
,DEEP LEARNING IN BIOMETRICS,"Mayank Vatsa, Richa Singh, Angshul Majumdar",CSE,2018,,9781138578234,T&F/CRC PRESS,1,BP 120,,https://www.routledge.com/Deep-Learning-in-Biometrics/Vatsa-Singh-Majumdar/p/book/9781138578234,
,DESIGN OF TERAHERTZ CMOS INTEGRATED CIRCUITS FOR HIGH-SPEED WIRELESS COMMUNICATION,Fujishima & Amakawa,CSE,2019,,9781785613876,IET PUBLISHING,1,BP 110,,https://shop.theiet.org/design-of-terahertz-cmos-integrated-circuits-for-high-speed-wireless-communication,
,DICTIONARY OF FLAVONOIDS WITH CD-ROM ,Buckingham,CSE,2019,,9780367268312,T&F/INDIA,1,,Rs. 8995,https://www.routledge.com/Dictionary-of-Flavonoids-with-CD-ROM/Buckingham-Munasinghe/p/book/9781466554344,
,"DIGITAL DESIGN, GLOBAL EDITION","M. Morris Mano, Michael Ciletti	",CSE,2018,6TH,9781292231167,PEARSON,1,BP 60.99,,https://www.pearson.ch/HigherEducation/Pearson/EAN/9781292231167/Digital-Design-Global-Edition,
,"DIGITAL FILTERS: ANALYSIS, DESIGN, AND SIGNAL PROCESSING APPLICATIONS",Andreas Antoniou,CSE,2018,1ST,9780071846035,MC GRAW HILL,1,US$ 140,,https://www.mheducation.com/highered/product/digital-filters-analysis-design-signal-processing-applications-antoniou/9780071846035.html,
,Digital Geometry In Image Processing,Mukhopadhyay Jayanta Et.Al,CSE,2020,,9780367371135,Chapman And Hall/Crc,1,,Rs. 3495,https://www.routledge.com/Digital-Geometry-in-Image-Processing/Mukhopadhyay-Das-Chattopadhyay-Bhowmick-Chatterji/p/book/9780367380212,
,DIGITAL MARKETING EXCELLENCE: PLANNING OPTIMIZING AND INTEGRATING ONLINE MARKETING,DAVE CHAFFEY AND PR SMITH,CSE,2018,5TH,9781138494237,T&F INDIA,1,,Rs. 995,https://www.routledge.com/Digital-Marketing-Excellence-Planning-Optimizing-and-Integrating-Online/Chaffey-Smith/p/book/9781138191709,
,DIGITALLY ENHANCED MIXED SIGNAL SYSTEMS,"Chadi Jabbour, Patricia Desgreys, et al.",CSE,2019,,9781785616099,IET PUBLISHING,1,BP 120,,https://shop.theiet.org/digitally-enhanced-mixed-signal-systems,
,DOCUMENT PROCESSING USING MACHINE LEARNING,"Sk Md Obaidullah, KC Santosh, Teresa Goncalves, Nibaran Das, Kaushik Roy",CSE,2020,1ST,9780367218478,T&F/CRC PRESS,1,BP 120,,https://www.routledge.com/Document-Processing-Using-Machine-Learning/Obaidullah-Santosh-Goncalves-Das-Roy/p/book/9780367218478,
,E-LEARNING IN THE 21ST CENTURY A COMMUNITY OF INQUIRY FRAMEWORK FOR RESEARCH AND PRACTICE,GARRISON D. RANDY,CSE,2019,3RD,9780367240486,TAYLOR & FRANCIS,1,,Rs. 1295,https://www.routledge.com/E-Learning-in-the-21st-Century-A-Community-of-Inquiry-Framework-for-Research/Garrison/p/book/9781138953567,
,ELEMENTARY INFORMATION SECURITY,Richard E. Smith,CSE,2021,3RD,9781284153040,JONES & BARTLETT,1,US$ 90,,https://www.jblearning.com/catalog/productdetails/9781284153040,
,ELEMENTS OF MULTIMEDIA,BANERJEE,CSE,2019,1ST,9781138360372,T&F/CRC PRESS,1,BP 79.99,,https://www.routledge.com/Elements-of-Multimedia/Banerjee/p/book/9781138360372,
,EMBEDDED SYSTEM INTERFACING: DESIGN FOR THE INTERNET-OF-THINGS (IOT) AND CYBER-PHYSICAL SYSTEMS (CPS),Marilyn Wolf,CSE,2019,1ST,9780128174029,ELSEVIER,1,US$ 79.95,,https://www.elsevier.com/books/embedded-system-interfacing/wolf/978-0-12-817402-9,
