id,title,author,subject,year_of_publication,edition,ISBN,publisher,seller,price_foreign_currency,price_indian_currency,link,medium
,"Visualizing War: Emotions, Technologies, Communities",Engberg-Pedersen Anders ,HSS,2021,1,9780367322731,Routledge,4,38.99,4058.859,http://www.routledge.com/9780367322731,
,Voice & Vision: A Creative Approach to Narrative Filmmaking,HURBIS-CHERRIER,HSS,2021,3,9780415739986,Routledge,4,48.99,5099.859,http://www.routledge.com/9780415739986,
,Voices Found: Free Jazz and Singing,TONELLI,HSS,2021,1,9781138341036,Routledge,4,36.99,3850.659,http://www.routledge.com/9781138341036,
,Vsevolod Meyerhold: ,PITCHES,HSS,2021,1,9780815378334,Routledge,4,34.99,3642.459,http://www.routledge.com/9780815378334,
,"Vulnerable South Asia: Precarities, Resistance, and Care Communities",Rastogi Pallavi,HSS,2021,1,9780367506667,Routledge,4,120,12492,http://www.routledge.com/9780367506667,
,W.S. Gilbert and the Context of Comedy: The Progress of Fun,MOORE,HSS,2021,1,9781138311084,Routledge,4,120,12492,http://www.routledge.com/9781138311084,
,"Wallace and I: Cognition, Consciousness, and Dualism in David Foster Wallace’s Fiction",REDGATE,HSS,2021,1,9781138354470,Routledge,4,120,12492,http://www.routledge.com/9781138354470,
,War Comics: A Postcolonial Perspective,VILJOEN,HSS,2021,1,9780367533151,Routledge,4,120,12492,http://www.routledge.com/9780367533151,
,Ways of Learning: Learning Theories for the Classroom,PRITCHARD,HSS,2021,4,9781138207943,Routledge,4,22.99,2393.259,http://www.routledge.com/9781138207943,
,We Find Ourselves in Other People’s Stories: On Narrative Collapse and a Lifetime Search for Story,ROBILLARD,HSS,2021,1,9781138393288,Routledge,4,46.99,4891.659,http://www.routledge.com/9781138393288,
,Welfare Work with Immigrants and Refugees in a Social Democratic Welfare State: ,OLAND,HSS,2021,1,9780367661830,Routledge,4,36.99,3850.659,http://www.routledge.com/9780367661830,
,Wellbeing Champions: A Complete Toolkit for Schools: ,WATERHOUSE,HSS,2021,1,9780367429867,Routledge,4,34.99,3642.459,http://www.routledge.com/9780367429867,
,Wellbeing in Higher Education: Cultivating a Healthy Lifestyle Among Faculty and Students,Henning Marcus A. ,HSS,2021,1,9780367375874,Routledge,4,36.99,3850.659,http://www.routledge.com/9780367375874,
,Western Bankers in China: Institutional Change and Corporate Governance,NOLAN,HSS,2021,1,9780367585211,Routledge,4,36.99,3850.659,http://www.routledge.com/9780367585211,
,Western Dominance in International Relations?: The Internationalisation of IR in Brazil and India,ALEJANDRO,HSS,2021,1,9780367540104,Routledge,4,36.99,3850.659,http://www.routledge.com/9780367540104,
,What Is at Stake in Building “Non-Western” International Relations Theory?: ,EUN,HSS,2021,1,9780367375645,Routledge,4,14.99,1560.459,http://www.routledge.com/9780367375645,
,What is Food?: Researching a Topic with Many Meanings,Gustafsson Ulla ,HSS,2021,1,9780367726669,Routledge,4,36.99,3850.659,http://www.routledge.com/9780367726669,
,What is Music Literacy?: ,BROOMHEAD,HSS,2021,1,9781138299160,Routledge,4,34.99,3642.459,http://www.routledge.com/9781138299160,
,What is Scenography?: ,HOWARD,HSS,2021,3,9781138504783,Routledge,4,36.99,3850.659,http://www.routledge.com/9781138504783,
,What is the Theatre?: ,BIET,HSS,2021,1,9781138701656,Routledge,4,38.99,4058.859,http://www.routledge.com/9781138701656,
,What is this thing called The Meaning of Life?: ,GOETZ,HSS,2021,1,9780415786775,Routledge,4,32.99,3434.259,http://www.routledge.com/9780415786775,
,What Painting Is: ,ELKINS,HSS,2021,2,9781138319882,Routledge,4,34.99,3642.459,http://www.routledge.com/9781138319882,
,What We Ought and What We Can: ,KING,HSS,2021,1,9780815366096,Routledge,4,52.99,5516.259,http://www.routledge.com/9780815366096,
,What’s the Story? The Director Meets Their Screenplay: An Essential Guide for Directors and Writer-Directors,MARKHAM,HSS,2021,1,9780367415877,Routledge,4,32.99,3434.259,http://www.routledge.com/9780367415877,
,What’s Wrong With Leadership?: Improving Leadership Research and Practice,Riggio Ronald E.,HSS,2021,1,9781138059405,Routledge,4,34.99,3642.459,http://www.routledge.com/9781138059405,
,What's the Buzz? for Primary Students: A Social and Emotional Enrichment Programme,LE MESSURIER,HSS,2021,2,9781138080317,Routledge,4,29.99,3121.959,http://www.routledge.com/9781138080317,
,When Leaders Face Personal Crisis: The Human Side of Leadership,ROBINSON HICKMAN,HSS,2021,1,9780367345655,Routledge,4,39.99,4162.959,http://www.routledge.com/9780367345655,
,Why Art Photography?: ,SOUTTER,HSS,2021,2,9781138282636,Routledge,4,27.99,2913.759,http://www.routledge.com/9781138282636,
,Why Study Linguistics: ,DENHAM,HSS,2021,1,9781138925885,Routledge,4,22.99,2393.259,http://www.routledge.com/9781138925885,
,"Why the Theatre: In Personal Essays, College Teachers, Actors, Directors, and Playwrights Tell Why the Theatre Is So Vital to Them",Homan Sidney,HSS,2021,1,9780367861957,Routledge,4,34.99,3642.459,http://www.routledge.com/9780367861957,
,Wicked World: Complex Challenges and Systems Innovation,VAN BERKEL,HSS,2021,1,9789001296964,Routledge,4,24.99,2601.459,http://www.routledge.com/9789001296964,
,Wild Animal Ethics: The Moral and Political Problem of Wild Animal Suffering,JOHANNSEN,HSS,2021,1,9780367275709,Routledge,4,34.99,3642.459,http://www.routledge.com/9780367275709,
,Wilfrid Sellars and Buddhist Philosophy: Freedom from Foundations,Garfield Jay L.,HSS,2021,1,9780367112097,Routledge,4,120,12492,http://www.routledge.com/9780367112097,
,Wind Power in China: Ambiguous Winds of Change in China's Energy Market,KIRKEGAARD,HSS,2021,1,9780415787116,Routledge,4,120,12492,http://www.routledge.com/9780415787116,
,Wise Leadership: A Toolbox for Sustainable Success,KESSLER,HSS,2021,1,9781138498839,Routledge,4,44.99,4683.459,http://www.routledge.com/9781138498839,
,"Witchcraft, Exorcism and the Politics of Possession in a Seventeenth-Century Convent: 'How Sister Ursula was once Bewiched and Sister Margaret Twice'",HALLETT,HSS,2021,1,9781138357983,Routledge,4,36.99,3850.659,http://www.routledge.com/9781138357983,
,With Music in Mind: Activity Cards to Support Children with Neurodegenerative Conditions including Visual Impairment,THE AMBER TRUST,HSS,2021,1,9780367472603,Routledge,4,26.99,2809.659,http://www.routledge.com/9780367472603,
,"Women Activating Agency in Academia: Metaphors, Manifestos and Memoir",Black Alison L. ,HSS,2021,1,9780367890957,Routledge,4,36.99,3850.659,http://www.routledge.com/9780367890957,
,"Women and Ageing: Private Meaning, Social Lives",O’Neill Margaret ,HSS,2021,1,9780367562168,Routledge,4,120,12492,http://www.routledge.com/9780367562168,
,Women and the Digitally-Mediated Revolution in the Middle East: Applying Digital Methods,BERNARDI,HSS,2021,1,9780367660215,Routledge,4,36.99,3850.659,http://www.routledge.com/9780367660215,
